outcome,observations,parks,grids,stack_units,nonzero_observation_share,always_zero_stack_units,always_zero_stack_unit_share,outcome_mean,outcome_variance
total_crime,2982,9,345,426,0.795103957075788,81,0.190140845070423,129.168678739101,23268.6038760799
theft,2982,9,345,426,0.768276324614353,85,0.199530516431925,34.2370892018779,3807.36980138687
non_theft,2982,9,345,426,0.790744466800805,83,0.194835680751174,94.9315895372233,13402.4642885829
day_crime,2982,9,345,426,0.786049631120054,82,0.192488262910798,64.8604963112005,6492.02414171938
night_crime,2982,9,345,426,0.786049631120054,83,0.194835680751174,64.3081824279007,5835.37731645379
