outcome,New York City,Shanghai,nyc_minus_shanghai,nyc_to_shanghai_ratio
day_crime,0.0754723171808179,0.471133693845119,-0.3956613766643011,0.16019299440219775
night_crime,-0.0064948487300132,0.116525254657742,-0.1230201033877552,-0.055737691791276245
non_theft,0.0131897577922635,1.59176206684116,-1.5785723090488966,0.008286262166328964
theft,0.0827610474745133,0.0940747474691801,-0.011313699994666804,0.8797371207573712
total_crime,0.0349938923501088,0.357109959222601,-0.3221160668724922,0.09799192502580333
