outcome,sample,model,omitted_park,estimate,std_error,p_value,n_obs,parks,converged,error,stars
theft,leave_one_park_out,baseline_ppml,Starlight Park,0.0958881832176539,0.141697133138416,0.498588554107168,2037,8,TRUE,"",""
non_theft,leave_one_park_out,baseline_ppml,Starlight Park,0.028961594277987,0.0457492806273683,0.526700818313733,2051,8,TRUE,"",""
day_crime,leave_one_park_out,baseline_ppml,Starlight Park,0.0849863689973847,0.0778475651353973,0.274963956475463,2058,8,TRUE,"",""
night_crime,leave_one_park_out,baseline_ppml,Starlight Park,0.0154669818769109,0.063789240703124,0.808415943027797,2051,8,TRUE,"",""
total_crime,leave_one_park_out,baseline_ppml,Estella Diggs Park,0.0287479168893803,0.0635862544186473,0.651190471795452,2128,8,TRUE,"",""
theft,leave_one_park_out,baseline_ppml,Estella Diggs Park,0.0721953214056755,0.137853837278961,0.600480822984895,2100,8,TRUE,"",""
non_theft,leave_one_park_out,baseline_ppml,Estella Diggs Park,0.00406139558271858,0.0424359081720291,0.923753615887297,2114,8,TRUE,"",""
day_crime,leave_one_park_out,baseline_ppml,Estella Diggs Park,0.0830792687951003,0.0753482832998348,0.270199459361729,2121,8,TRUE,"",""
night_crime,leave_one_park_out,baseline_ppml,Estella Diggs Park,-0.0282425902725844,0.0606429042034247,0.641416207021411,2114,8,TRUE,"",""
total_crime,leave_one_park_out,baseline_ppml,River Avenue Parks,0.0222497599469935,0.041541394581521,0.592231883553915,2135,8,TRUE,"",""
theft,leave_one_park_out,baseline_ppml,River Avenue Parks,0.0323687829272205,0.0958925709348203,0.735700396404777,2114,8,TRUE,"",""
non_theft,leave_one_park_out,baseline_ppml,River Avenue Parks,0.0213442433998357,0.0356519263745086,0.549383525665653,2121,8,TRUE,"",""
day_crime,leave_one_park_out,baseline_ppml,River Avenue Parks,0.0484146569321265,0.0509206289142037,0.341712663433305,2128,8,TRUE,"",""
night_crime,leave_one_park_out,baseline_ppml,River Avenue Parks,-0.00295282958895653,0.0418784649506139,0.943788140138803,2121,8,TRUE,"",""
